name,website,address,phone,placeId,employeeCount,industry,revenue,linkedinUrl,founded,description
The Spice & Tea Exchange of Greenville,https://www.spiceandtea.com/a/store-locator/Greenville.html,124 N Main St,(864) 509-0125,,330,food production,50M,http://www.linkedin.com/company/the-spice-&-tea-exchange,2008,"The Spice & Tea Exchange® is a specialty retail brand that offers gourmet spices, teas, salts, and culinary products through a franchise model. Founded in 2008 in St. Augustine, Florida, the company has grown to nearly 100 franchise locations across the United States. It is led by CEO Amy Freeman and President Penny Rehling, who have guided the company since 2016. The brand has been recognized for its rapid growth, achieving a 77 percent increase from 2020 to 2022 and earning a spot on the *Inc.* 5000 list of fastest-growing privately held companies.

The Spice & Tea Exchange features a wide selection of over 140 spices, 85 hand-mixed blends, more than 30 exotic loose-leaf teas, and various salts and sweeteners. The company prioritizes high-quality sourcing from organic and fair-trade vendors, with many products hand-mixed in-store. The retail experience is designed to be interactive, inviting customers to explore and enjoy the sensory aspects of spices and teas. The company serves a diverse clientele, including home cooks, gourmet chefs, and tea enthusiasts, all seeking unique culinary ingredients."
The Jones Oyster Co.,https://www.thejonesoysterco.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,22 E Court St,(864) 549-0301,,UNKNOWN,,,,,
Resurgent Capital Services,http://www.resurgent.com/,55 Beattie Pl #110,(888) 665-0374,,570,financial services,65.0M,http://www.linkedin.com/company/resurgent-capital-services,1998,"Resurgent Capital Services is a financial services company based in Greenville, South Carolina, founded in 1998. The company specializes in the acquisition, management, and servicing of consumer debt portfolios, including performing, sub-performing, and charged-off accounts. As a privately-held entity affiliated with Sherman Financial Group LLC and Resurgent Holdings LLC, Resurgent emphasizes innovation, integrity, and superior customer service, holding an A+ rating from the Better Business Bureau since 2017.

Resurgent offers a range of services, including debt portfolio management, consumer debt resolution with flexible payment plans, and educational resources on debt and credit practices. The company utilizes technology to ensure transparency and compliance with regulations like the Fair Debt Collection Practices Act. Resurgent serves individual consumers facing debt collection and partners with credit grantors and debt buyers, providing support and solutions to help clients manage their financial obligations effectively."
Ellison on Broad Apartments,https://ellisononbroad.com/?funnelleasing=onlinelisting&utm_source=gmb&utm_medium=organic,212 E Broad St,(864) 719-3513,,UNKNOWN,,,http://www.linkedin.com/company/ellison-on-broad,,"Ellison On Broad is a company based out of GREENVILLE, SC, United States."
Greenville Segway Tours / Greenville Rydables Tours,http://greenvillesegwaytours.com/,"Noma Flats, 233 N Main St #12",(866) 752-7130,,UNKNOWN,"leisure, travel & tourism",,http://www.linkedin.com/company/greenville-glides,,Greenville Segway Experience
Transworld Business Advisors Western Carolinas-GVL,https://www.tworld.com/locations/south-carolina/westerncarolinas/?utm_campaign=gmb-listing&utm_medium=organic&utm_source=local,135 S Main St Suite 106,(864) 727-4300,,870,management consulting,18M,http://www.linkedin.com/company/transworld-business-advisors,1979,"Transworld Business Advisors is the largest business brokerage firm globally, focusing on the marketing and sales of businesses, mergers and acquisitions, and franchises. Founded in 1979 in South Florida, the company has grown to include over 250 offices and more than 1,000 brokers worldwide. It provides comprehensive services to business owners, buyers, and franchisors, ensuring smooth transactions through its extensive network.

The firm operates in three main areas: business brokerage, franchise consulting, and franchise development. It assists business owners in selling their businesses, evaluates potential buyers, and guides clients through franchise opportunities. Transworld also supports existing business owners in franchising their concepts quickly and efficiently.

As a franchise opportunity itself, Transworld offers franchisees access to its infrastructure, technology, and broker network, enabling them to launch advisory practices. With a strong emphasis on training and support, the company has established a reputation for excellence in the industry, backed by numerous awards and recognitions."
Harper General Contractors - Headquarters,https://harpergc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,35 W Court St #400,(864) 527-2500,,400,construction,411.9M,http://www.linkedin.com/company/harper-general-contractors,1950,"Harper General Contractors is a full-service general contracting and construction management firm based in Greenville, South Carolina. Founded in 1950, the company serves clients across North Carolina, South Carolina, and the broader Southeast. With a team of approximately 311 employees, Harper generates around $58 million in revenue and has received awards for quality, safety, environmental stewardship, and community involvement.

The firm offers a wide range of construction services, including Construction Manager At-Risk, Design-Build, preconstruction planning, project management, new construction, remodeling, and construction consulting. Key divisions focus on commercial projects, environmental systems for clean water infrastructure, and maintenance services. Harper emphasizes sustainable practices, having completed over $300 million in sustainable projects, including LEED-Certified initiatives. The company's philosophy promotes transparency and collaboration, fostering long-term relationships and community impact through various facilities and projects."
Septic Connection,https://www.septicconnection.com/greenville-septic-tank-pumping,220 N Main St Suite 500,(864) 682-3330,,UNKNOWN,,,http://www.linkedin.com/company/septic-connection,2018,Septic Connection is a South Carolina-based professional services company that offers services such as septic tank cleaning and repair for residential and commercial spaces.
Quantros Inc.,http://www.quantros.com/,55 Beattie Pl # 1600,(877) 782-6876,,380,insurance,43.2M,http://www.linkedin.com/company/valenz,2004,"Vālenz Health® is a healthcare software company based in the Phoenix, Arizona area, with an additional office in Wayne, Pennsylvania. Founded in 2004, the company specializes in self-insurance solutions for employers, providers, payers, plans, and members. Vālenz Health® operates the Healthcare Ecosystem Optimization Platform, which simplifies self-insurance complexities by consolidating health plan solutions and enhancing data transparency, decision-making, and claims validation.

The company offers a range of integrated solutions focused on self-funded benefits, including care navigation and management, payment integrity, provider verification, and risk affinity solutions. Vālenz is set to launch ValenzONE in 2026, a health plan optimizer designed to improve cost containment and member engagement. With a strong client retention rate and recognition on the Inc. 5000 list of fastest-growing private companies, Vālenz Health® is committed to optimizing healthcare experiences and outcomes for its partners."
"Vortex Companies Greenville, SC",https://vortexcompanies.com/,300 E Coffee St,(713) 750-9081,,450,utilities,159.8M,http://www.linkedin.com/company/vortex-infrastructure,2015,"Vortex Companies is a global leader in trenchless infrastructure rehabilitation, focusing on no-dig technologies to renew water, sewer, and industrial systems. Founded in 2015 in Houston, the company has grown to nearly 1,000 employees across 25 locations worldwide, including North America and Europe. Vortex operates through four divisions: Vortex Services, Vortex Products, United Felts, and Vortex International, providing innovative solutions to address aging infrastructure challenges.

The company offers a wide range of products, including repair materials, CIPP liners, and specialized equipment for trenchless rehabilitation. Vortex Services provides installation expertise, including CCTV inspection, pipe relining, and manhole rehabilitation. They serve municipalities, private contractors, utilities, and industrial customers, focusing on U.S. markets and supporting sustainable renewal efforts. Vortex is committed to customer support, training, and safety, ensuring effective project execution and long-term partnerships."
The Social Poster,https://thesocialposter.com/,355 S Main St 1st & 2nd Floor,(864) 251-5771,,UNKNOWN,,,,,
Brandon Hart Creaitve,https://www.brandonhartcreative.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1353579640616730620,S Main St,(864) 420-4493,,UNKNOWN,,,,,
DellBoomi,http://dellboomitraining.com/,7 S Laurens St,,,UNKNOWN,,,,,
Find Great People,http://www.fgp.com/,32 E Broad St,(864) 297-0000,,520,staffing & recruiting,10.7M,http://www.linkedin.com/company/findgreatpeople,1982,"Find Great People (FGP) is a talent acquisition and human resources consulting firm based in Greenville, South Carolina, with additional offices in Columbia, Charleston, and Nashville. Founded in 1982, FGP is a Veteran Owned Small Business that focuses on its core values of Growth, Gratitude, and Great, guiding its mission to connect exceptional talent with great companies throughout the employee lifecycle.

FGP offers a comprehensive range of services, including direct hire search, temporary and contract staffing, HR consulting, and outplacement services. The firm specializes in various sectors such as healthcare, government, financial services, manufacturing, nonprofit, professional services, and technology. Over the years, FGP has achieved significant growth and recognition, appearing on the Inc. 500 list multiple times and earning accolades from Forbes for its recruitment and staffing services. With a dedicated team and a client-focused approach, FGP supports both organizations and candidates in building successful partnerships and careers."
Actian,http://www.actian.com/,1 N Main St 4th floor,(864) 527-3500,,520,information technology & services,56.5M,http://www.linkedin.com/company/actian,1980,"Actian is the data division of HCLSoftware, specializing in data management and intelligence products. The company helps enterprises manage, govern, and leverage data at scale, enabling organizations to transform big data into business value. Actian's solutions focus on data discovery, governance, and AI-ready data preparation.

Founded in 1982, Actian has a history of innovation, starting with the development of the Btrieve database. Key milestones include the launch of Ingres Corporation and the acquisition of Vectorwise. Actian's product offerings include the Actian Data Intelligence Platform, Actian Data Platform, Ingres database, Vectorwise analytical database, DataConnect integration product, Action Apps for automated business operations, and the Actian Zeenea Federated Data Catalog for data governance.

With approximately 10,000 customers worldwide, Actian emphasizes strong, long-term relationships with its clients. The company is headquartered in Santa Clara, California, and has around 365 employees, reporting a revenue of $76.7 million."
"Innovative Technology Solutions, SC",http://itsmanagedservices.net/,1 N Main St,(864) 609-3697,,UNKNOWN,,,,,
Pinnacle Technologies,http://www.pinntec.com/,728 N Pleasantburg Dr,(864) 250-0090,,UNKNOWN,,8.3M,,,"When using Pinnacle Technologies' Armband / Wristband System, you can rest assured that your detainees identification will be accurate. Don't be anything but certain that you're using the best."
"Advoco, Inc.",http://www.advocoinc.com/,411 University Ridge Suite 225,(844) 423-8626,,UNKNOWN,,,,,
Parago Software,http://www.parago.co.uk/contact/,330 E Coffee St,(864) 527-5977,,UNKNOWN,,,,,
Sulzer USA Inc.,https://www.sulzer.de/en,104 S Main St Suite 851,,,350,information technology & services,99M,http://www.linkedin.com/company/sulzer-gmbh-germany,1978,"Sulzer GmbH is a medium-sized IT services and consulting company based in Munich, Germany, founded in 1978. The company specializes in data-driven solutions, software development, and digital transformation, primarily serving the automotive, engineering, and insurance industries. With a workforce of 201-500 employees, Sulzer emphasizes long-term partnerships and agile methodologies to deliver maximum business value through technology.

The company offers a comprehensive range of services, including IT consulting, business process optimization, custom software development, and digital transformation initiatives. Sulzer supports various technologies such as SAP ERP, Big Data, IoT, and AI, ensuring tailored solutions for its clients. The company is committed to quality and security, holding ISO 9001:2015 and ISO 27001:2022 certifications. Notably, Sulzer has established strategic partnerships with leading firms, including the BMW Group, enhancing its reputation as a trusted IT partner in the industry."
"Traxler Legal Software Solutions, LLC",http://www.traxlersoftware.com/,126 Wilderness Ln,(864) 414-3288,,UNKNOWN,,10.3M,http://www.linkedin.com/company/traxlersoftware,,
Suchan Infotech Ltd,https://suchaninfotech.com/contact,18B S Markley St,(732) 993-9534,,UNKNOWN,,,,,
New Realm Brewing Co.,http://newrealmbrewing.com/greenville,912 S Main St,(803) 258-6019,,410,food & beverages,,http://www.linkedin.com/company/new-realm-brewing,2016,"New Realm Brewing Co. is a craft brewery and distillery based in the southeastern U.S., founded in 2016 and officially opening in 2018. The company was established by Carey Falcone, Bob Powers, and Mitch Steele, who emphasizes quality, creativity, and community engagement. New Realm operates multiple brewery-restaurant locations, including a flagship in Atlanta, GA, and others in Virginia Beach, Charleston, Greenville, and Savannah.

The brewery is known for its diverse range of beers, including popular selections like Tank Dog West Coast Imperial IPA and Euphonia Pilsner, which won Best-in-Show at the 2019 Virginia Craft Beer Cup. New Realm also produces spirits at its Savannah distillery and offers a variety of food options, featuring wood-fired dishes. Each location provides a vibrant atmosphere with live music, outdoor seating, and event spaces, creating a welcoming environment for craft beverage enthusiasts."
Carolina Creative Group,https://www.carolinacreativegroup.com/,100 W Court St,(864) 255-9270,,UNKNOWN,,3.7M,,1999,"Carolina Creative is a Greenville, SC Web Design and Digital Marketing Company. We're a group of ridiculously talented custom website designers, graphic design artists, and digital marketing specialists working together to produce Simply Brilliant Custom Website Designs."
"Drake Software, LLC",https://www.drakesoftware.com/,55 Beattie Pl,(828) 524-8020,,590,information technology & services,91.4M,http://www.linkedin.com/company/drake-software,1977,"Drake Software is a private company founded in 1977, specializing in professional tax preparation software and support for tax professionals. Headquartered in Franklin, North Carolina, with additional offices in Hayesville, Waynesville, NC, and Greenville, SC, the company serves over 70,000 tax and accounting firms nationwide, processing more than 40 million tax returns annually.

The company offers a range of comprehensive tax preparation software, including federal and state income tax compliance, free electronic filing, and tools for small business and corporate tax needs. Drake Software is known for its award-winning customer service, with quick response times and a focus on quality and reliability. With a dedicated team of over 600 employees, Drake continues to innovate and expand its product offerings, supporting tax professionals in building successful businesses."
ChartSpan,http://www.chartspan.com/,411 University Ridge #220,(864) 671-1990,,220,hospital & health care,27.7M,http://www.linkedin.com/company/chartspan-medical-technologies,2012,"ChartSpan Medical Technologies is a leading chronic care management company based in Greenville, South Carolina. Founded in 2012, it specializes in value-based care solutions for healthcare providers across the United States. The company serves over 175 practices and health systems, managing more than 3 million patient encounters each month.

ChartSpan offers a range of services, including Chronic Care Management (CCM), Advanced Primary Care Management (APCM), Annual Wellness Visits, Remote Patient Monitoring, and Quality Improvement programs. These solutions are designed to enhance care coordination and improve patient outcomes. The company reports significant cost reductions for patients and maintains high enrollment rates in its programs. With a commitment to security, ChartSpan exceeds HIPAA requirements and operates on SOC 2 Type 2 certified platforms."
CMIT Solutions of Greenville,https://cmitsolutions.com/greenville-sc-1006/,15 Halton Green Way Suite 200,(864) 322-2948,,560,information technology & services,100M,http://www.linkedin.com/company/cmit-solutions-inc,1996,"CMIT Solutions is a prominent managed IT services and cybersecurity provider focused on small and mid-sized businesses. Established in 1996, the company operates through a franchise model with over 250 locations and 900 IT experts across North America. CMIT Solutions aims to empower businesses by offering innovative technology solutions and emphasizes proactive monitoring and tailored services.

The company provides a wide range of IT and security solutions, including managed IT services, cybersecurity, email security, data backup and recovery, multi-factor authentication, cloud computing, compliance solutions, and help desk support. CMIT Solutions is recognized for its commitment to clear communication and transparency, ensuring clients receive dependable service that meets their specific needs.

CMIT Solutions has earned numerous accolades, including consistent rankings on Entrepreneur Magazine's Franchise 500 list and the ConnectWise Partner of the Year award. The leadership team, including CEO Roger Lewis and VP of Operations Tara Osborn, brings extensive technology expertise to the organization."
Spaces Falls Tower,https://www.spacesworks.com/greenville/falls-tower?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall,"355 South Main Street 1st & 2nd Floors, 355 S Main St",(864) 413-1050,,560,real estate,114.8M,http://www.linkedin.com/company/spacesworks,2008,"Spaces is a global provider of flexible workspaces, offering offices, coworking areas, and meeting rooms designed to support creativity and collaboration. The company creates professional environments for innovators, small businesses, and entrepreneurs, emphasizing a vibrant community and sophisticated design. With thousands of locations worldwide, Spaces fosters a setting where ideas can flourish and relationships can grow.

The company offers various products and services, including coworking memberships that provide access to creative spaces and business communities. Members can choose from different plans for unlimited access during business hours. Spaces also provides dedicated offices and private suites that are fully furnished and equipped with high-speed internet, security, and custom branding. Meeting rooms are available for booking by the hour, making them ideal for collaboration. Additional amenities include shared facilities, community events, and virtual office options, catering to the needs of small businesses, startups, and larger organizations seeking flexible workspace solutions."
TeamLogic IT,https://www.teamlogicit.com/GreenvilleSC002,901 E North St,(864) 509-6630,,790,information technology & services,230M,http://www.linkedin.com/company/teamlogic-it,2004,"TeamLogic IT is a national provider of managed IT services and technology solutions, focusing on small- and medium-sized businesses (SMBs) across North America. Founded in 2005 by Don F. Lowe, the company has grown to over 300 independently owned locations, making it the largest IT franchise in the world. TeamLogic IT emphasizes a customer-centric approach, delivering reliable and expert services tailored to meet the unique needs of each client.

The company offers a range of services, including managed IT support, cybersecurity, business continuity, cloud computing, and consulting. Their proactive monitoring and strategic planning help minimize downtime and enhance productivity for their clients. TeamLogic IT serves a diverse clientele, including multi-city operations and non-profit organizations, providing enterprise-level services at accessible costs. With a commitment to understanding client goals, TeamLogic IT aims to deliver solutions that foster efficiency, security, and profitability."
